"filename", "language", "JavaScript", "comment", "blank", "total"
"/home/josh/repos/doughleap/server/modules/UNUSED/clients/handler.js", "JavaScript", 87, 0, 7, 94
"/home/josh/repos/doughleap/server/modules/UNUSED/clients/processor.js", "JavaScript", 172, 10, 23, 205
"/home/josh/repos/doughleap/server/modules/UNUSED/clients/router.js", "JavaScript", 15, 0, 6, 21
"/home/josh/repos/doughleap/server/modules/UNUSED/employees/handler.js", "JavaScript", 101, 0, 7, 108
"/home/josh/repos/doughleap/server/modules/UNUSED/employees/processor.js", "JavaScript", 251, 19, 36, 306
"/home/josh/repos/doughleap/server/modules/UNUSED/employees/router.js", "JavaScript", 16, 0, 6, 22
"/home/josh/repos/doughleap/server/modules/UNUSED/invoices/handler.js", "JavaScript", 50, 0, 5, 55
"/home/josh/repos/doughleap/server/modules/UNUSED/invoices/logs/handler.js", "JavaScript", 36, 0, 4, 40
"/home/josh/repos/doughleap/server/modules/UNUSED/invoices/logs/processor.js", "JavaScript", 42, 1, 9, 52
"/home/josh/repos/doughleap/server/modules/UNUSED/invoices/logs/router.js", "JavaScript", 13, 0, 6, 19
"/home/josh/repos/doughleap/server/modules/UNUSED/invoices/notes/handler.js", "JavaScript", 33, 0, 4, 37
"/home/josh/repos/doughleap/server/modules/UNUSED/invoices/notes/processor.js", "JavaScript", 41, 2, 11, 54
"/home/josh/repos/doughleap/server/modules/UNUSED/invoices/notes/router.js", "JavaScript", 13, 0, 6, 19
"/home/josh/repos/doughleap/server/modules/UNUSED/invoices/processor.js", "JavaScript", 103, 3, 18, 124
"/home/josh/repos/doughleap/server/modules/UNUSED/invoices/router.js", "JavaScript", 18, 0, 6, 24
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/handler.js", "JavaScript", 78, 0, 7, 85
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/items/router.js", "JavaScript", 7, 0, 5, 12
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/items/stock/handler.js", "JavaScript", 60, 0, 7, 67
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/items/stock/processor.js", "JavaScript", 152, 13, 28, 193
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/items/stock/router.js", "JavaScript", 16, 0, 6, 22
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/items/task/handler.js", "JavaScript", 61, 0, 7, 68
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/items/task/processor.js", "JavaScript", 130, 9, 24, 163
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/items/task/router.js", "JavaScript", 16, 0, 6, 22
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/processor.js", "JavaScript", 172, 14, 31, 217
"/home/josh/repos/doughleap/server/modules/UNUSED/orders/router.js", "JavaScript", 18, 0, 8, 26
