"filename", "language", "TypeScript", "HTML", "Draw.io", "SCSS", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\login\login-page.component.html", "HTML", 0, 97, 0, 0, 54, 9, 160
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\login\login-page.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\login\login-page.component.ts", "TypeScript", 38, 0, 0, 0, 0, 6, 44
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\password\password-reset-page.component.html", "HTML", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\password\password-reset-page.component.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\signup\signup-page.component.html", "HTML", 0, 97, 0, 0, 54, 9, 160
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\signup\signup-page.component.ts", "TypeScript", 38, 0, 0, 0, 0, 6, 44
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\verify\verify.component.html", "HTML", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Josh\repos\doughleap\frontend\src\app\account\feature\verify\verify.component.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\Josh\repos\doughleap\frontend\src\app\app.component.html", "HTML", 0, 3, 0, 0, 0, 1, 4
"c:\Users\Josh\repos\doughleap\frontend\src\app\app.component.spec.ts", "TypeScript", 25, 0, 0, 0, 0, 5, 30
"c:\Users\Josh\repos\doughleap\frontend\src\app\app.component.ts", "TypeScript", 44, 0, 0, 0, 2, 6, 52
"c:\Users\Josh\repos\doughleap\frontend\src\app\employees\data\employee.service.ts", "TypeScript", 24, 0, 0, 0, 0, 9, 33
"c:\Users\Josh\repos\doughleap\frontend\src\app\employees\feature\employees\employees.component.html", "HTML", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Josh\repos\doughleap\frontend\src\app\employees\feature\employees\employees.component.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\Josh\repos\doughleap\frontend\src\app\employees\state\employee-actions.ts", "TypeScript", 31, 0, 0, 0, 0, 3, 34
"c:\Users\Josh\repos\doughleap\frontend\src\app\employees\state\employee-effects.ts", "TypeScript", 47, 0, 0, 0, 0, 4, 51
"c:\Users\Josh\repos\doughleap\frontend\src\app\employees\state\employee-reducers.ts", "TypeScript", 31, 0, 0, 0, 0, 2, 33
"c:\Users\Josh\repos\doughleap\frontend\src\app\employees\state\employee-selectors.ts", "TypeScript", 8, 0, 0, 0, 0, 3, 11
"c:\Users\Josh\repos\doughleap\frontend\src\app\employees\state\employee-state.ts", "TypeScript", 22, 0, 0, 0, 2, 2, 26
"c:\Users\Josh\repos\doughleap\frontend\src\app\guards\profile.guard.ts", "TypeScript", 30, 0, 0, 0, 3, 3, 36
"c:\Users\Josh\repos\doughleap\frontend\src\app\header\feature\app-header.component.html", "HTML", 0, 279, 0, 0, 3, 3, 285
"c:\Users\Josh\repos\doughleap\frontend\src\app\header\feature\app-header.component.ts", "TypeScript", 79, 0, 0, 0, 0, 10, 89
"c:\Users\Josh\repos\doughleap\frontend\src\app\home\feature\home\home.component.html", "HTML", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Josh\repos\doughleap\frontend\src\app\home\feature\home\home.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Josh\repos\doughleap\frontend\src\app\home\feature\home\home.component.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\data\ingredient-stock.service.ts", "TypeScript", 78, 0, 0, 0, 1, 10, 89
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ingredient-inventory-table.component.html", "HTML", 0, 4, 0, 0, 0, 1, 5
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ingredient-inventory-table.component.ts", "TypeScript", 91, 0, 0, 0, 0, 6, 97
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-actions.ts", "TypeScript", 76, 0, 0, 0, 0, 5, 81
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-effects.ts", "TypeScript", 118, 0, 0, 0, 0, 7, 125
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-reducers.ts", "TypeScript", 115, 0, 0, 0, 0, 2, 117
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-selectors.ts", "TypeScript", 23, 0, 0, 0, 0, 9, 32
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\state\ingredient-stock-state.ts", "TypeScript", 29, 0, 0, 0, 0, 4, 33
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\add-ingredient-stock-modal\add-ingredient-stock-modal.component.html", "HTML", 0, 142, 0, 0, 2, 6, 150
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\add-ingredient-stock-modal\add-ingredient-stock-modal.component.ts", "TypeScript", 187, 0, 0, 0, 3, 21, 211
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\delete-ingredient-stock-modal\delete-ingredient-stock-modal.component.html", "HTML", 0, 56, 0, 0, 0, 1, 57
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\delete-ingredient-stock-modal\delete-ingredient-stock-modal.component.ts", "TypeScript", 54, 0, 0, 0, 1, 8, 63
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\edit-ingredient-stock-modal\edit-ingredient-stock-modal.component.html", "HTML", 0, 127, 0, 0, 2, 5, 134
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\ingredient-inventory\ui\edit-ingredient-stock-modal\edit-ingredient-stock-modal.component.ts", "TypeScript", 206, 0, 0, 0, 0, 22, 228
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\material-inventory\material-inventory-table.component.html", "HTML", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\material-inventory\material-inventory-table.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\feature\material-inventory\material-inventory-table.component.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 13
"c:\Users\Josh\repos\doughleap\frontend\src\app\kitchen\feature\Inventory\inventory.component.html", "HTML", 0, 10, 0, 0, 0, 1, 11
